violation_desc,issue_datetime,fine,issuing_agency,lat,lon,zip_code
METER EXPIRED CC,2017-11-29T19:41:00Z,36,PPA,39.948188,-75.162782,19107
LOADING ZONE   CC,2017-11-12T11:21:00Z,51,PPA,39.950638,-75.194652,19104
EXPIRED INSPECTION,2017-11-21T11:44:00Z,41,PPA,40.037117,-75.175937,19144
STOP PROHIBITED CC,2017-11-20T15:23:00Z,76,PPA,39.953918,-75.200415,19104
EXPIRED INSPECTION,2017-11-10T16:34:00Z,41,PPA,39.95986,-75.145185,19123
FIRE HYDRANT,2017-11-24T21:00:00Z,76,POLICE,39.94316812,-75.23207321,19143
STOPPING PROHIBITED,2017-11-08T16:19:00Z,51,PPA,39.962333,-75.14309,19123
METER EXPIRED,2017-11-17T12:02:00Z,26,PPA,39.924492,-75.17028,19145
METER EXPIRED,2017-11-01T14:11:00Z,26,PPA,40.025512,-75.22373,19127
OVER TIME LIMIT,2017-11-30T12:21:00Z,26,PPA,39.965695,-75.171047,19130
OVER TIME LIMIT,2017-11-10T19:34:00Z,26,PPA,39.935237,-75.172103,19146
PARKING PROHBITED CC,2017-11-13T10:24:00Z,51,PPA,39.949218,-75.16786,19103
STOPPING PROHIBITED,2017-11-24T09:57:00Z,51,PPA,39.92121,-75.166613,19148
BUS ONLY ZONE   CC,2017-11-29T12:01:00Z,76,PPA,39.953683,-75.156032,19107
EXPIRED INSPECTION,2017-11-21T11:23:00Z,41,PPA,39.966242,-75.167218,19130
SCHOOL ZONE,2017-11-28T10:23:00Z,36,POLICE,39.99883718,-75.12522038,19134
METER EXPIRED CC,2017-11-29T21:32:00Z,36,PPA,39.950158,-75.159175,19107
OVER TIME LIMIT,2017-11-30T20:22:00Z,26,PPA,39.97511,-75.234997,19131
OVER TIME LIMIT,2017-11-01T14:49:00Z,26,PPA,39.982137,-75.162887,19121
FIRE HYDRANT,2017-11-19T18:55:00Z,76,POLICE,39.9237313,-75.23563103,19142
METER EXPIRED,2017-11-13T14:43:00Z,26,PPA,39.928637,-75.229863,19142
BLOCKING DRIVEWAY,2017-11-19T17:54:00Z,51,POLICE,39.91939099,-75.22421948,19142
METER EXPIRED,2017-11-02T13:27:00Z,26,PPA,40.035707,-75.04211,19135
STOP PROHIBITED CC,2017-11-16T06:51:00Z,76,PPA,39.948262,-75.146823,19106
STOPPING PROHIBITED,2017-11-19T11:08:00Z,51,POLICE,39.94807818,-75.2219403,19143
METER EXPIRED,2017-11-30T12:11:00Z,26,PPA,40.042088,-75.074578,19149
STOPPING PROHIBITED,2017-11-11T13:14:00Z,51,PPA,40.007247,-75.078148,19137
METER EXPIRED CC,2017-11-12T09:03:00Z,36,PPA,39.953855,-75.19201,19104
METER EXPIRED,2017-11-20T15:18:00Z,26,PPA,40.037268,-75.130392,19120
METER EXPIRED CC,2017-11-20T15:53:00Z,36,PPA,39.952072,-75.17269,19103
OVER TIME LIMIT,2017-11-16T21:38:00Z,26,PPA,39.953937,-75.21499,19139
OVER TIME LIMIT CC,2017-11-09T12:21:00Z,36,PPA,39.948627,-75.177227,19103
HP RAMP BLOCKED,2017-11-22T21:42:00Z,76,PPA,39.929142,-75.148227,19147
METER EXPIRED CC,2017-11-10T10:47:00Z,36,PPA,39.957163,-75.199592,19104
EXPIRED INSPECTION,2017-11-17T14:10:00Z,41,POLICE,39.94613182,-75.23903495,19143
EXPIRED INSPECTION,2017-11-16T08:54:00Z,41,POLICE,39.94639855,-75.23762621,19143
EXPIRED INSPECTION,2017-11-19T09:55:00Z,41,POLICE,39.94613182,-75.23903495,19143
METER EXPIRED CC,2017-11-30T16:14:00Z,36,PPA,39.952387,-75.17643,19103
EXPIRED INSPECTION,2017-11-12T16:02:00Z,41,PPA,40.009052,-75.194347,19129
STOP MEDIAL STRIP,2017-11-16T14:23:00Z,31,PPA,40.055812,-75.141008,19126
METER EXPIRED,2017-11-15T11:54:00Z,26,PPA,40.026965,-75.147405,19141
METER EXPIRED CC,2017-11-16T14:51:00Z,36,PPA,39.941985,-75.151265,19147
METER EXPIRED,2017-11-16T11:28:00Z,26,PPA,39.957268,-75.202685,19104
STOP PROHIBITED CC,2017-11-16T15:51:00Z,76,PPA,39.953065,-75.154745,19107
METER EXPIRED CC,2017-11-16T13:32:00Z,36,PPA,39.954282,-75.196487,19104
METER EXPIRED CC,2017-11-16T14:37:00Z,36,PPA,39.954427,-75.193028,19104
STOPPING PROHIBITED,2017-11-16T13:58:00Z,51,PPA,40.00908,-75.193795,19129
OVER TIME LIMIT,2017-11-16T14:58:00Z,26,PPA,40.040563,-75.1542,19144
METER EXPIRED CC,2017-11-16T21:04:00Z,36,PPA,39.952088,-75.174138,19103
SIDEWALK,2017-11-21T16:06:00Z,51,POLICE,39.92095183,-75.23111536,19142
PRIVATE PROPERTY,2017-11-18T18:04:00Z,26,PPA,39.977432,-75.158825,19121
STOPPING PROHIBITED,2017-11-16T12:41:00Z,51,PPA,39.959218,-75.225092,19139
DOUBLE PARKED,2017-11-20T02:37:00Z,51,POLICE,39.93345937,-75.23132499,19142
EXPIRED INSPECTION,2017-11-23T02:30:00Z,41,POLICE,39.91225359,-75.23566028,19153
EXPIRED INSPECTION,2017-11-22T08:59:00Z,41,POLICE,39.94707505,-75.22663434,19143
STOPPING PROHIBITED,2017-11-20T21:42:00Z,51,POLICE,39.94807818,-75.2219403,19143
SIDEWALK,2017-11-20T11:58:00Z,51,POLICE,39.91762871,-75.21226287,19153
METER EXPIRED,2017-11-21T17:03:00Z,26,PPA,40.038337,-75.036782,19136
VALET ZONE VIOLATION,2017-11-16T16:16:00Z,31,PPA,39.950882,-75.163193,19107
METER EXPIRED,2017-11-15T11:23:00Z,26,PPA,40.005523,-75.15206,19140
METER EXPIRED CC,2017-11-16T17:19:00Z,36,PPA,39.950623,-75.162263,19107
PARKING PROHBITED CC,2017-11-17T06:22:00Z,51,PPA,39.950953,-75.162585,19107
METER EXPIRED,2017-11-21T12:00:00Z,26,PPA,40.052162,-75.066218,19111
METER EXPIRED,2017-11-07T15:55:00Z,26,PPA,40.072358,-75.202203,19118
METER EXPIRED CC,2017-11-01T14:36:00Z,36,PPA,39.944798,-75.173235,19146
OVER TIME LIMIT CC,2017-11-14T12:59:00Z,36,PPA,39.947507,-75.179905,19103
OVER TIME LIMIT CC,2017-11-15T12:42:00Z,36,PPA,39.944502,-75.175878,19146
OVER TIME LIMIT CC,2017-11-22T12:54:00Z,36,PPA,39.94752,-75.180013,19103
STOP PROHIBITED CC,2017-11-27T10:01:00Z,76,PPA,39.947525,-75.180213,19103
OVER TIME LIMIT CC,2017-11-30T12:28:00Z,36,PPA,39.94695,-75.179973,19146
METER EXPIRED,2017-11-30T13:36:00Z,26,PPA,40.025262,-75.147583,19141
PARKING PROHBITED,2017-11-15T15:47:00Z,41,PPA,39.940973,-75.177952,19146
METER EXPIRED,2017-11-04T14:11:00Z,26,PPA,40.04935,-75.095908,19111
BLOCKING DRIVEWAY,2017-11-17T11:18:00Z,51,POLICE,39.99584927,-75.10482742,19134
OVER TIME LIMIT CC,2017-11-08T13:09:00Z,36,PPA,39.947192,-75.181235,19146
METER EXPIRED CC,2017-11-02T10:09:00Z,36,PPA,39.956212,-75.18951,19104
EXPIRED INSPECTION,2017-11-06T10:01:00Z,41,PPA,39.947887,-75.172853,19103
OVER TIME LIMIT,2017-11-21T13:32:00Z,26,PPA,39.966677,-75.168113,19130
PRIVATE PROPERTY,2017-11-17T10:27:00Z,26,PPA,39.965447,-75.138692,19123
METER EXPIRED,2017-11-06T12:56:00Z,26,PPA,40.006648,-75.151663,19140
PARKING PROHBITED CC,2017-11-08T15:11:00Z,51,PPA,39.953558,-75.168798,19103
METER EXPIRED CC,2017-11-20T15:49:00Z,36,PPA,39.949107,-75.155875,19107
METER EXPIRED CC,2017-11-19T17:08:00Z,36,PPA,39.95032,-75.167157,19102
STOP PROHIBITED CC,2017-11-03T15:37:00Z,76,PPA,39.947718,-75.152232,19106
METER EXPIRED CC,2017-11-24T12:08:00Z,36,PPA,39.942758,-75.15723,19147
METER EXPIRED,2017-11-11T13:59:00Z,26,PPA,40.025265,-75.223192,19127
BUS ONLY ZONE,2017-11-21T12:18:00Z,51,PPA,40.064643,-75.053567,19152
FIRE HYDRANT,2017-11-21T11:13:00Z,76,PPA,39.967297,-75.17319,19130
OVER TIME LIMIT,2017-11-21T08:22:00Z,26,PPA,39.957468,-75.22305,19139
STOPPING PROHIBITED,2017-11-21T09:11:00Z,51,PPA,39.951565,-75.210683,19104
PARKING PROHBITED,2017-11-05T11:24:00Z,41,PPA,39.91542,-75.16129,19148
HP RESERVED SPACE,2017-11-01T10:47:00Z,301,PPA,39.958392,-75.150408,19123
METER EXPIRED CC,2017-11-19T10:19:00Z,36,PPA,39.951403,-75.16693,19102
METER EXPIRED CC,2017-11-02T12:51:00Z,36,PPA,39.94201,-75.15075,19147
METER EXPIRED,2017-11-09T16:34:00Z,26,PPA,40.048412,-75.068878,19149
OVER TIME LIMIT,2017-11-16T21:29:00Z,26,PPA,39.981073,-75.222415,19131
METER EXPIRED CC,2017-11-17T16:11:00Z,36,PPA,39.942083,-75.153342,19147
OVER TIME LIMIT,2017-11-16T21:30:00Z,26,PPA,39.980963,-75.222182,19131
FIRE HYDRANT,2017-11-07T11:27:00Z,76,PPA,39.94186375,-75.18269125,19146
BUS ONLY ZONE,2017-11-17T12:27:00Z,51,POLICE,40.00160983,-75.17756924,19132
METER EXPIRED CC,2017-11-22T13:45:00Z,36,PPA,39.95115,-75.145397,19106
PARKING PROHBITED,2017-11-01T10:50:00Z,41,PPA,40.006968,-75.096658,19124
PARKING PROHBITED,2017-11-14T19:40:00Z,41,PPA,39.979318,-75.15555,19122
EXPIRED INSPECTION,2017-11-10T10:23:00Z,41,POLICE,40.03057874,-75.16429852,19144
EXPIRED INSPECTION,2017-11-17T12:02:00Z,41,PPA,39.938893,-75.146107,19147
EXPIRED INSPECTION,2017-11-16T20:00:00Z,41,PPA,39.938895,-75.146112,19147
EXPIRED INSPECTION,2017-11-17T17:57:00Z,41,PPA,39.938893,-75.146115,19147
EXPIRED INSPECTION,2017-11-18T09:35:00Z,41,PPA,39.94014202,-75.14588817,19147
PARKING PROHBITED CC,2017-11-10T15:09:00Z,51,PPA,39.961287,-75.16001,19123
EXPIRED INSPECTION,2017-11-20T09:34:00Z,41,PPA,39.961152,-75.194798,19104
EXPIRED INSPECTION,2017-11-22T11:32:00Z,41,PPA,39.96103,-75.194783,19104
EXPIRED INSPECTION,2017-11-27T10:12:00Z,41,PPA,39.961105,-75.194352,19104
METER EXPIRED,2017-11-01T12:08:00Z,26,PPA,40.013667,-75.086702,19124
METER EXPIRED CC,2017-11-16T13:38:00Z,36,PPA,39.94152,-75.148557,19147
METER EXPIRED CC,2017-11-16T15:18:00Z,36,PPA,39.941723,-75.149207,19147
METER EXPIRED CC,2017-11-16T16:59:00Z,36,PPA,39.942768,-75.152235,19147
METER EXPIRED CC,2017-11-16T10:08:00Z,36,PPA,39.940837,-75.150272,19147
METER EXPIRED,2017-11-16T09:56:00Z,26,PPA,40.038107,-75.142743,19141
STOP PROHIBITED CC,2017-11-28T09:57:00Z,76,PPA,39.956935,-75.168098,19103
SIDEWALK,2017-11-18T00:00:00Z,51,POLICE,39.98877483,-75.11651966,19134
STOPPING PROHIBITED,2017-11-16T10:25:00Z,51,PPA,40.037067,-75.144615,19141
STOP PROHIBITED CC,2017-11-21T13:09:00Z,76,PPA,39.94834,-75.152467,19106
STOPPING PROHIBITED,2017-11-01T13:51:00Z,51,PPA,40.020658,-75.116372,19120
EXPIRED INSPECTION,2017-11-01T14:25:00Z,41,POLICE,40.04359755,-75.07462082,19111
STOPPING PROHIBITED,2017-11-16T12:44:00Z,51,PPA,39.938573,-75.156145,19147
OVER TIME LIMIT,2017-11-13T11:27:00Z,26,PPA,39.948088,-75.211763,19104
OVER TIME LIMIT,2017-11-17T10:50:00Z,26,PPA,39.947225,-75.213043,19143
OVER TIME LIMIT,2017-11-16T11:01:00Z,26,PPA,39.94829832,-75.21198488,19104
METER EXPIRED,2017-11-07T14:24:00Z,26,PPA,40.012848,-75.087397,19124
METER EXPIRED CC,2017-11-01T17:25:00Z,36,PPA,39.957677,-75.159123,19107
OVER TIME LIMIT CC,2017-11-09T15:03:00Z,36,PPA,39.944032,-75.153103,19106
FIRE HYDRANT,2017-11-21T18:33:00Z,76,PPA,39.96631,-75.138712,19123
EXPIRED INSPECTION,2017-11-03T10:17:00Z,41,PPA,39.945877,-75.153808,19106
PARKING PROHBITED CC,2017-11-17T11:14:00Z,51,PPA,39.954695,-75.170655,19103
METER EXPIRED CC,2017-11-20T10:54:00Z,36,PPA,39.944553,-75.167005,19146
EXPIRED INSPECTION,2017-11-29T10:11:00Z,41,PPA,39.943937,-75.1714,19146
BUS ONLY ZONE,2017-11-15T17:10:00Z,51,PPA,40.043542,-75.073588,19149
CORNER CLEARANCE  CC,2017-11-01T10:34:00Z,76,PPA,39.959605,-75.155785,19123
METER EXPIRED,2017-11-11T13:08:00Z,26,PPA,39.956925,-75.225005,19139
METER EXPIRED CC,2017-11-29T15:21:00Z,36,PPA,39.95617,-75.17275,19103
STOP PROHIBITED CC,2017-11-15T12:16:00Z,76,PPA,39.95548,-75.16568,19102
METER EXPIRED CC,2017-11-07T16:14:00Z,36,PPA,39.9626,-75.171873,19130
METER EXPIRED CC,2017-11-16T20:26:00Z,36,PPA,39.94999,-75.165942,19102
OVER TIME LIMIT CC,2017-11-28T10:59:00Z,36,PPA,39.954723,-75.183468,19104
OVER TIME LIMIT,2017-11-14T21:01:00Z,26,PPA,39.942005,-75.17593,19146
METER EXPIRED,2017-11-04T15:40:00Z,26,PPA,39.963677,-75.203345,19104
SIDEWALK   CC,2017-11-03T14:21:00Z,76,PPA,39.951733,-75.17053,19103
OVER TIME LIMIT,2017-11-30T22:19:00Z,26,PPA,40.025892,-75.22248,19127
OVER TIME LIMIT,2017-11-21T15:04:00Z,26,PPA,39.979477,-75.134413,19122
METER EXPIRED,2017-11-21T15:12:00Z,26,PPA,40.076175,-75.205378,19118
METER EXPIRED,2017-11-21T15:21:00Z,26,PPA,40.075203,-75.20517,19118
PRIVATE PROPERTY,2017-11-21T11:00:00Z,26,PPA,39.947873,-75.197983,19104
STOPPING PROHIBITED,2017-11-18T09:09:00Z,51,PPA,40.022352,-75.217078,19127
METER EXPIRED CC,2017-11-11T13:32:00Z,36,PPA,39.942248,-75.150517,19147
METER EXPIRED,2017-11-01T11:42:00Z,26,PPA,39.995728,-75.1146,19134
OVER TIME LIMIT,2017-11-21T13:15:00Z,26,PPA,39.92233,-75.163212,19148
BLOCKING DRIVEWAY,2017-11-20T07:50:00Z,51,POLICE,40.02963491,-75.2176102,19128
PARKING PROHBITED,2017-11-20T14:03:00Z,41,POLICE,40.03655226,-75.23307583,19128
PARKING PROHBITED,2017-11-21T02:29:00Z,41,POLICE,40.01835696,-75.21278468,19127
CORNER CLEARANCE,2017-11-21T02:30:00Z,51,POLICE,40.026938,-75.22445895,19127
OVER TIME LIMIT,2017-11-21T13:53:00Z,26,PPA,39.915847,-75.169452,19148
OVER TIME LIMIT,2017-11-05T10:04:00Z,26,PPA,39.926972,-75.155687,19148
SIDEWALK,2017-11-27T07:16:00Z,51,POLICE,39.92701849,-75.15485611,19148
METER EXPIRED,2017-11-07T14:04:00Z,26,PPA,40.026705,-75.147347,19141
METER EXPIRED,2017-11-08T13:50:00Z,26,PPA,40.037325,-75.14469,19141
METER EXPIRED CC,2017-11-24T08:50:00Z,36,PPA,39.951303,-75.17553,19103
BLOCKING DRIVEWAY,2017-11-15T16:30:00Z,51,POLICE,39.94221827,-75.22592246,19143
VALET ZONE VIOLATION,2017-11-19T01:35:00Z,31,PPA,39.95052,-75.168878,19103
BUS ONLY ZONE,2017-11-05T08:15:00Z,51,PPA,39.927235,-75.152623,19148
HP RESERVED SPACE,2017-11-08T15:50:00Z,301,PPA,39.985925,-75.247773,19151
METER EXPIRED CC,2017-11-24T10:14:00Z,36,PPA,39.951163,-75.156768,19107
EXPIRED INSPECTION,2017-11-10T00:00:00Z,41,POLICE,39.96751112,-75.24734495,19139
STOPPING PROHIBITED,2017-11-06T19:47:00Z,51,PPA,39.96823,-75.135532,19123
METER EXPIRED CC,2017-11-22T15:50:00Z,36,PPA,39.95324,-75.197643,19104
METER EXPIRED,2017-11-30T09:06:00Z,26,PPA,39.926318,-75.169432,19148
STOPPING PROHIBITED,2017-11-01T12:43:00Z,51,PPA,39.964163,-75.203992,19104
METER EXPIRED CC,2017-11-02T21:38:00Z,36,PPA,39.953968,-75.15913,19107
EXPIRED INSPECTION,2017-11-11T21:27:00Z,41,PPA,39.932367,-75.160973,19147
METER EXPIRED,2017-11-16T12:03:00Z,26,PPA,39.999323,-75.166693,19132
STOP PROHIBITED CC,2017-11-22T16:22:00Z,76,PPA,39.950032,-75.168742,19103
METER EXPIRED,2017-11-24T17:24:00Z,26,PPA,39.939805,-75.149468,19147
CORNER CLEARANCE,2017-11-16T12:33:00Z,51,PPA,40.00307,-75.09522,19124
STOP PROHIBITED CC,2017-11-16T10:19:00Z,76,PPA,39.958308,-75.200457,19104
METER EXPIRED CC,2017-11-16T16:58:00Z,36,PPA,39.953642,-75.15559,19107
METER EXPIRED CC,2017-11-16T17:23:00Z,36,PPA,39.954913,-75.154367,19107
LOADING ZONE   CC,2017-11-16T11:11:00Z,51,PPA,39.95017,-75.16383,19110
METER EXPIRED CC,2017-11-14T21:16:00Z,36,PPA,39.953038,-75.158272,19107
OVER TIME LIMIT,2017-11-15T11:50:00Z,26,PPA,39.948465,-75.209218,19104
METER EXPIRED,2017-11-29T10:39:00Z,26,PPA,40.034315,-75.215712,19128
METER EXPIRED CC,2017-11-14T20:38:00Z,36,PPA,39.954383,-75.167803,19103
PASSENGR LOADNG ZONE,2017-11-03T08:58:00Z,31,PPA,39.953402,-75.207382,19104
OVER TIME LIMIT,2017-11-29T13:46:00Z,26,PPA,39.927892,-75.170595,19145
PARKING PROHBITED CC,2017-11-14T15:16:00Z,51,PPA,39.954007,-75.170977,19103
CORNER CLEARANCE,2017-11-24T00:28:00Z,51,POLICE,40.02963491,-75.2176102,19128
SIDEWALK,2017-11-24T08:14:00Z,51,POLICE,40.0328599,-75.22103234,19128
EXPIRED INSPECTION,2017-11-24T10:13:00Z,41,POLICE,40.02740882,-75.22153929,19128
PARKING PROHBITED,2017-11-25T03:33:00Z,41,POLICE,40.05541808,-75.23248507,19128
PARKING PROHBITED,2017-11-25T03:40:00Z,41,POLICE,40.05541808,-75.23248507,19128
FIRE HYDRANT,2017-11-24T23:13:00Z,76,POLICE,40.03371934,-75.22342926,19128
PARKING PROHBITED,2017-11-26T02:46:00Z,41,POLICE,40.02202133,-75.2124073,19128
PARKING PROHBITED,2017-11-20T22:00:00Z,41,POLICE,40.01701051,-75.21164247,19127
CORNER CLEARANCE,2017-11-22T00:11:00Z,51,POLICE,40.03938691,-75.10294883,19120
STOPPING PROHIBITED,2017-11-07T16:10:00Z,51,PPA,39.980747,-75.157472,19121
SIDEWALK   CC,2017-11-17T15:29:00Z,76,PPA,39.952738,-75.171813,19103
METER EXPIRED,2017-11-09T12:16:00Z,26,PPA,39.929537,-75.228843,19142
METER EXPIRED CC,2017-11-10T14:31:00Z,36,PPA,39.94836,-75.160407,19107
METER EXPIRED CC,2017-11-03T14:09:00Z,36,PPA,39.952715,-75.158282,19107
OVER TIME LIMIT,2017-11-10T15:17:00Z,26,PPA,40.00673,-75.153525,19140
HP RAMP BLOCKED,2017-11-07T08:20:00Z,76,PPA,39.963018,-75.195897,19104
EXPIRED INSPECTION,2017-11-06T12:00:00Z,41,PPA,39.954908,-75.218463,19139
EXPIRED INSPECTION,2017-11-30T20:05:00Z,41,PPA,39.935098,-75.171297,19146
OVER TIME LIMIT,2017-11-30T20:04:00Z,26,PPA,39.935137,-75.171298,19146
OVER TIME LIMIT,2017-11-18T19:25:00Z,26,PPA,39.928277,-75.160628,19148
OVER TIME LIMIT,2017-11-07T21:27:00Z,26,PPA,39.968897,-75.165357,19130
EXPIRED INSPECTION,2017-11-12T13:05:00Z,41,POLICE,40.03464959,-75.16091569,19144
OVER TIME LIMIT,2017-11-20T14:53:00Z,26,PPA,40.01286,-75.190327,19129
METER EXPIRED,2017-11-01T16:17:00Z,26,PPA,40.038632,-75.129915,19120
IMPROPER MOTORCYCLE,2017-11-16T09:47:00Z,26,PENN,39.95196207,-75.19017599,19104
STOP PROHIBITED CC,2017-11-09T13:19:00Z,76,PPA,39.953593,-75.15639,19107
PARKING PROHBITED CC,2017-11-21T20:30:00Z,51,PPA,39.954082,-75.18348,19104
EXPIRED INSPECTION,2017-11-30T08:22:00Z,41,POLICE,39.92563913,-75.15436393,19148
FIRE HYDRANT,2017-11-03T02:25:00Z,76,POLICE,40.01750192,-75.05535049,19135
METER EXPIRED,2017-11-16T15:39:00Z,26,PPA,40.022077,-75.077742,19124
METER EXPIRED,2017-11-17T12:44:00Z,26,PPA,39.958642,-75.225197,19139
METER EXPIRED,2017-11-30T15:06:00Z,26,PPA,40.022158,-75.077867,19124
OVER TIME LIMIT,2017-11-30T14:44:00Z,26,PPA,39.920603,-75.166702,19148
OVER TIME LIMIT,2017-11-28T13:25:00Z,26,PPA,39.911955,-75.182152,19145
CROSSWALK,2017-11-27T18:17:00Z,51,PPA,39.925162,-75.152903,19148
EXPIRED INSPECTION,2017-11-24T08:58:00Z,41,PPA,39.951143,-75.19645,19104
EXPIRED INSPECTION,2017-11-26T08:14:00Z,41,PPA,39.950867,-75.196007,19104
PARKING PROHBITED CC,2017-11-20T10:07:00Z,51,PPA,39.950735,-75.147907,19106
METER EXPIRED,2017-11-24T12:17:00Z,26,PPA,40.038175,-75.176878,19144
STOP PROHIBITED CC,2017-11-18T21:57:00Z,76,PPA,39.94115,-75.145178,19147
PARKING PROHBITED CC,2017-11-04T00:08:00Z,51,POLICE,39.94124697,-75.14620572,19147
METER EXPIRED CC,2017-11-29T13:27:00Z,36,PPA,39.956998,-75.201268,19104
METER EXPIRED,2017-11-14T11:30:00Z,26,PPA,39.99563,-75.115122,19134
METER EXPIRED CC,2017-11-16T20:12:00Z,36,PPA,39.96008,-75.150212,19123
METER EXPIRED CC,2017-11-16T20:15:00Z,36,PPA,39.960293,-75.150113,19123
METER EXPIRED CC,2017-11-16T20:16:00Z,36,PPA,39.960395,-75.150075,19123
METER EXPIRED CC,2017-11-16T20:18:00Z,36,PPA,39.960805,-75.14999,19123
METER EXPIRED CC,2017-11-16T21:48:00Z,36,PPA,39.952568,-75.147987,19106
METER EXPIRED CC,2017-11-16T15:08:00Z,36,PPA,39.94996,-75.165912,19102
METER EXPIRED CC,2017-11-16T11:37:00Z,36,PPA,39.954627,-75.202173,19104
METER EXPIRED CC,2017-11-16T11:41:00Z,36,PPA,39.953925,-75.202768,19104
METER EXPIRED,2017-11-03T14:56:00Z,26,PPA,39.92659,-75.169148,19145
METER EXPIRED CC,2017-11-01T10:10:00Z,36,PPA,39.963052,-75.16554,19130
METER EXPIRED,2017-11-06T14:53:00Z,26,PPA,39.926627,-75.233398,19142
METER EXPIRED CC,2017-11-15T12:58:00Z,36,PPA,39.956757,-75.195252,19104
METER EXPIRED,2017-11-13T13:47:00Z,26,PPA,39.924795,-75.169463,19145
SUSPENDED LICENSE,2017-11-23T05:00:00Z,101,POLICE,40.04627263,-75.07769957,19111
BLOCKING DRIVEWAY,2017-11-23T01:45:00Z,51,POLICE,40.04294042,-75.10078492,19120
FIRE HYDRANT,2017-11-30T17:18:00Z,76,PPA,40.005117,-75.149692,19140
METER EXPIRED,2017-11-16T16:38:00Z,26,PPA,40.018287,-75.082283,19124
PARKING PROHBITED,2017-11-26T13:07:00Z,41,PPA,39.916302,-75.16813,19148
PARKING PROHBITED CC,2017-11-28T09:41:00Z,51,PPA,39.948205,-75.162172,19107
OVER TIME LIMIT,2017-11-03T12:03:00Z,26,PPA,39.937955,-75.175463,19146
METER EXPIRED,2017-11-06T15:34:00Z,26,PPA,40.048723,-75.096375,19111
EXPIRED INSPECTION,2017-11-22T09:53:00Z,41,PPA,40.040647,-75.144255,19141
METER EXPIRED,2017-11-09T19:07:00Z,26,PPA,39.926362,-75.167512,19148
OVER TIME LIMIT,2017-11-17T10:30:00Z,26,PPA,39.9588,-75.206615,19104
OVER TIME LIMIT,2017-11-11T11:19:00Z,26,PPA,39.941465,-75.171395,19146
DOUBLE PARKED,2017-11-04T16:34:00Z,51,POLICE,39.96399236,-75.22440563,19139
STOP PROHIBITED CC,2017-11-20T13:01:00Z,76,PPA,39.946333,-75.171418,19103
EXPIRED INSPECTION,2017-11-28T10:11:00Z,41,PPA,39.957138,-75.199573,19104
METER EXPIRED CC,2017-11-09T19:33:00Z,36,PPA,39.947192,-75.156912,19107
OVER TIME LIMIT,2017-11-08T21:02:00Z,26,PPA,40.031587,-75.228345,19127
OVER TIME LIMIT,2017-11-12T22:01:00Z,26,PPA,40.031655,-75.228422,19127
METER EXPIRED CC,2017-11-29T13:58:00Z,36,PPA,39.9542,-75.145538,19106
METER EXPIRED CC,2017-11-16T19:17:00Z,36,PPA,39.942382,-75.155172,19147
METER EXPIRED CC,2017-11-22T21:30:00Z,36,PPA,39.953663,-75.169872,19103
METER EXPIRED,2017-11-11T12:39:00Z,26,PPA,40.04395,-75.07292,19149
FIRE HYDRANT,2017-11-23T05:39:00Z,76,POLICE,40.04674273,-75.06837556,19149
EXPIRED INSPECTION,2017-11-24T14:53:00Z,41,POLICE,40.0317379,-75.12858555,19120
EXPIRED INSPECTION,2017-11-24T14:32:00Z,41,POLICE,40.04428593,-75.13646476,19141
FIRE HYDRANT,2017-11-03T09:35:00Z,76,PPA,40.002158,-75.120915,19134
STREET CLEANING,2017-11-07T07:45:00Z,31,PPA,40.033348,-75.115805,19120
STREET CLEANING,2017-11-07T07:52:00Z,31,PPA,40.047775,-75.097412,19111
STREET CLEANING,2017-11-07T07:53:00Z,31,PPA,40.047712,-75.097467,19111
STREET CLEANING,2017-11-07T07:55:00Z,31,PPA,40.049005,-75.096173,19111
STREET CLEANING,2017-11-07T07:57:00Z,31,PPA,40.049352,-75.095878,19111
STREET CLEANING,2017-11-07T08:00:00Z,31,PPA,40.050037,-75.095097,19111
STREET CLEANING,2017-11-07T08:05:00Z,31,PPA,40.052403,-75.092803,19111
OVER TIME LIMIT,2017-11-05T19:05:00Z,26,PPA,39.93751,-75.17836,19146
OVER TIME LIMIT,2017-11-21T21:04:00Z,26,PPA,39.937603,-75.178152,19146
BLOCKING DRIVEWAY,2017-11-29T09:51:00Z,51,PPA,39.929312,-75.174978,19145
PARKING PROHBITED CC,2017-11-30T13:42:00Z,51,PPA,39.94965,-75.169208,19103
PASSENGR LOADNG ZONE,2017-11-07T11:03:00Z,31,PPA,39.95048,-75.168313,19103
PASSENGR LOADNG ZONE,2017-11-07T11:05:00Z,31,PPA,39.950347,-75.168422,19103
EXPIRED INSPECTION,2017-11-30T20:07:00Z,41,PPA,39.948337,-75.143598,19106
METER EXPIRED CC,2017-11-07T12:17:00Z,36,PPA,39.952567,-75.177918,19103
METER EXPIRED CC,2017-11-07T18:58:00Z,36,PPA,39.941577,-75.150355,19147
IMPROPER ON 2WAY HWY,2017-11-04T09:20:00Z,31,PPA,39.987307,-75.249252,19151
STOP PROHIBITED CC,2017-11-30T15:35:00Z,76,PPA,39.949007,-75.162972,19107
OVER TIME LIMIT,2017-11-09T10:48:00Z,26,PPA,39.966868,-75.174468,19130
METER EXPIRED CC,2017-11-29T11:20:00Z,36,PPA,39.95407,-75.20205,19104
OVER TIME LIMIT,2017-11-11T10:24:00Z,26,PPA,39.985558,-75.162517,19121
